nama,id,image
Sunrise,550,samp_vehicles_images/Sunrise_550.png
Tahoma,566,samp_vehicles_images/Tahoma_566.png
Vincent,540,samp_vehicles_images/Vincent_540.png
Washington,421,samp_vehicles_images/Washington_421.png
Willard,529,samp_vehicles_images/Willard_529.png
Baggage,485,samp_vehicles_images/Baggage_485.png
Bus,431,samp_vehicles_images/Bus_431.png
Cabbie,438,samp_vehicles_images/Cabbie_438.png
Coach,437,samp_vehicles_images/Coach_437.png
Sweeper,574,samp_vehicles_images/Sweeper_574.png
Taxi,420,samp_vehicles_images/Taxi_420.png
Towtruck,525,samp_vehicles_images/Towtruck_525.png
Trashmaster,408,samp_vehicles_images/Trashmaster_408.png
Utility Van,552,samp_vehicles_images/Utility_Van_552.png
Ambulance,416,samp_vehicles_images/Ambulance_416.png
Barracks,433,samp_vehicles_images/Barracks_433.png
Enforcer,427,samp_vehicles_images/Enforcer_427.png
FBI Rancher,490,samp_vehicles_images/FBI_Rancher_490.png
FBI Truck,528,samp_vehicles_images/FBI_Truck_528.png
Fire Truck,407,samp_vehicles_images/Fire_Truck_407.png
Fire Truck,544,samp_vehicles_images/Fire_Truck_544.png
HPV1000,523,samp_vehicles_images/HPV1000_523.png
Patriot,470,samp_vehicles_images/Patriot_470.png
Police LS,596,samp_vehicles_images/Police_LS_596.png
Police LV,598,samp_vehicles_images/Police_LV_598.png
Police Ranger,599,samp_vehicles_images/Police_Ranger_599.png
Police SF,597,samp_vehicles_images/Police_SF_597.png
Rhino,432,samp_vehicles_images/Rhino_432.png
S.W.A.T.,601,samp_vehicles_images/S.W.A.T._601.png
Securicar,428,samp_vehicles_images/Securicar_428.png
Benson,499,samp_vehicles_images/Benson_499.png
Black Boxville,609,samp_vehicles_images/Black_Boxville_609.png
Boxville,498,samp_vehicles_images/Boxville_498.png
Cement Truck,524,samp_vehicles_images/Cement_Truck_524.png
Combine Harvester,532,samp_vehicles_images/Combine_Harvester_532.png
DFT-30,578,samp_vehicles_images/DFT-30_578.png
Dozer,486,samp_vehicles_images/Dozer_486.png
Dumper,406,samp_vehicles_images/Dumper_406.png
Dune,573,samp_vehicles_images/Dune_573.png
Flatbed,455,samp_vehicles_images/Flatbed_455.png
Hotdog,588,samp_vehicles_images/Hotdog_588.png
Linerunner,403,samp_vehicles_images/Linerunner_403.png
Mr. Whoopee,423,samp_vehicles_images/Mr._Whoopee_423.png
Mule,414,samp_vehicles_images/Mule_414.png
Packer,443,samp_vehicles_images/Packer_443.png
Roadtrain,515,samp_vehicles_images/Roadtrain_515.png
Tanker,514,samp_vehicles_images/Tanker_514.png
Tractor,531,samp_vehicles_images/Tractor_531.png
Yankee,456,samp_vehicles_images/Yankee_456.png
Baggage Trailer,606,samp_vehicles_images/Baggage_Trailer_606.png
Baggage Trailer,607,samp_vehicles_images/Baggage_Trailer_607.png
Farm Trailer,610,samp_vehicles_images/Farm_Trailer_610.png
Petrol trailer,584,samp_vehicles_images/Petrol_trailer_584.png
Trailer,611,samp_vehicles_images/Trailer_611.png
Trailer,608,samp_vehicles_images/Trailer_608.png
Trailer 1,435,samp_vehicles_images/Trailer_1_435.png
Trailer 2,450,samp_vehicles_images/Trailer_2_450.png
Trailer 3,591,samp_vehicles_images/Trailer_3_591.png
Berkleys RC Van,459,samp_vehicles_images/Berkley's_RC_Van_459.png
Bobcat,422,samp_vehicles_images/Bobcat_422.png
Burrito,482,samp_vehicles_images/Burrito_482.png
Damaged Sadler,605,samp_vehicles_images/Damaged_Sadler_605.png
Forklift,530,samp_vehicles_images/Forklift_530.png
Moonbeam,418,samp_vehicles_images/Moonbeam_418.png
Mower,572,samp_vehicles_images/Mower_572.png
News Van,582,samp_vehicles_images/News_Van_582.png
Pony,413,samp_vehicles_images/Pony_413.png
Rumpo,440,samp_vehicles_images/Rumpo_440.png
Sadler,543,samp_vehicles_images/Sadler_543.png
Tug,583,samp_vehicles_images/Tug_583.png
Walton,478,samp_vehicles_images/Walton_478.png
Yosemite,554,samp_vehicles_images/Yosemite_554.png
Huntley,579,samp_vehicles_images/Huntley_579.png
Landstalker,400,samp_vehicles_images/Landstalker_400.png
Perennial,404,samp_vehicles_images/Perennial_404.png
Rancher,489,samp_vehicles_images/Rancher_489.png
Rancher,505,samp_vehicles_images/Rancher_505.png
Regina,479,samp_vehicles_images/Regina_479.png
Romero,442,samp_vehicles_images/Romero_442.png
Solair,458,samp_vehicles_images/Solair_458.png
Blade,536,samp_vehicles_images/Blade_536.png
Broadway,575,samp_vehicles_images/Broadway_575.png
Remington,534,samp_vehicles_images/Remington_534.png
Savanna,567,samp_vehicles_images/Savanna_567.png
Slamvan,535,samp_vehicles_images/Slamvan_535.png
Tornado,576,samp_vehicles_images/Tornado_576.png
Voodoo,412,samp_vehicles_images/Voodoo_412.png
Buffalo,402,samp_vehicles_images/Buffalo_402.png
Clover,542,samp_vehicles_images/Clover_542.png
Phoenix,603,samp_vehicles_images/Phoenix_603.png
Sabre,475,samp_vehicles_images/Sabre_475.png
Banshee,429,samp_vehicles_images/Banshee_429.png
Bullet,541,samp_vehicles_images/Bullet_541.png
Cheetah,415,samp_vehicles_images/Cheetah_415.png
Comet,480,samp_vehicles_images/Comet_480.png
Elegy,562,samp_vehicles_images/Elegy_562.png
Flash,565,samp_vehicles_images/Flash_565.png
Hotknife,434,samp_vehicles_images/Hotknife_434.png
Hotring Racer,494,samp_vehicles_images/Hotring_Racer_494.png
Hotring Racer 2,502,samp_vehicles_images/Hotring_Racer_2_502.png
Hotring Racer 3,503,samp_vehicles_images/Hotring_Racer_3_503.png
Infernus,411,samp_vehicles_images/Infernus_411.png
Jester,559,samp_vehicles_images/Jester_559.png
Stratum,561,samp_vehicles_images/Stratum_561.png
Sultan,560,samp_vehicles_images/Sultan_560.png
Super GT,506,samp_vehicles_images/Super_GT_506.png
Turismo,451,samp_vehicles_images/Turismo_451.png
Uranus,558,samp_vehicles_images/Uranus_558.png
Windsor,555,samp_vehicles_images/Windsor_555.png
ZR-350,477,samp_vehicles_images/ZR-350_477.png
Bandito,568,samp_vehicles_images/Bandito_568.png
BF Injection,424,samp_vehicles_images/BF_Injection_424.png
Bloodring Banger,504,samp_vehicles_images/Bloodring_Banger_504.png
Caddy,457,samp_vehicles_images/Caddy_457.png
Camper,483,samp_vehicles_images/Camper_483.png
Journey,508,samp_vehicles_images/Journey_508.png
Kart,571,samp_vehicles_images/Kart_571.png
Mesa,500,samp_vehicles_images/Mesa_500.png
Monster,444,samp_vehicles_images/Monster_444.png
Monster 2,556,samp_vehicles_images/Monster_2_556.png
Monster 3,557,samp_vehicles_images/Monster_3_557.png
Quadbike,471,samp_vehicles_images/Quadbike_471.png
Sandking,495,samp_vehicles_images/Sandking_495.png
Vortex,539,samp_vehicles_images/Vortex_539.png
RC Bandit,441,samp_vehicles_images/RC_Bandit_441.png
RC Baron,464,samp_vehicles_images/RC_Baron_464.png
RC Cam,594,samp_vehicles_images/RC_Cam_594.png
RC Goblin,501,samp_vehicles_images/RC_Goblin_501.png
RC Raider,465,samp_vehicles_images/RC_Raider_465.png
RC Tiger,564,samp_vehicles_images/RC_Tiger_564.png
Box Freight,590,samp_vehicles_images/Box_Freight_590.png
Brown Streak,538,samp_vehicles_images/Brown_Streak_538.png
Brown Streak Carriage,570,samp_vehicles_images/Brown_Streak_Carriage_570.png
Flat Freight,569,samp_vehicles_images/Flat_Freight_569.png
Freight,537,samp_vehicles_images/Freight_537.png
Tram,449,samp_vehicles_images/Tram_449.png
